	Alltype	Alltype(non-senior)	Normal	Normal(non-senior)	LumA	LumA(non-senior	LumB	LumB(non-senior)	Basal	Basal(non-senior)	Her2	Her2(non-senior)	ERpos_PRpos_HER2pos	ERpos_PRpos_HER2pos(non-senior)	ERneg_PRpos_HER2pos	ERneg_PRpos_HER2pos(non-senior)	ERpos_PRneg_HER2pos	ERpos_PRneg_HER2pos(non-senior)	ERpos_PRpos_HER2neg	ERpos_PRpos_HER2neg(non-senior)	ERneg_PRneg_HER2pos	ERneg_PRneg_HER2pos(non-senior)	ERpos_PRneg_HER2neg	ERpos_PRneg_HER2neg(non-senior)	ERneg_PRpos_HER2neg	ERneg_PRpos_HER2neg(non-senior)	ERneg_PRneg_HER2neg	ERneg_PRneg_HER2neg(non-senior)
SLITRK3	4.24527e-04	3.71647e-04	3.25891e-02	3.91108e-01	8.48316e-01	6.00236e-01	2.53704e-01	9.64443e-01	2.56296e-01	3.98246e-01	6.63117e-01	8.93071e-01	1.61755e-02	1.43588e-02	2.00098e-01	6.27245e-01	1.61755e-02	1.43588e-02	2.00098e-01	6.27245e-01	2.00098e-01	6.27245e-01	1.61755e-02	1.43588e-02	2.00098e-01	6.27245e-01	2.00098e-01	6.27245e-01
GALP	2.66854e-01	1.45552e-01	9.97536e-01	9.98901e-01	8.86562e-01	9.97646e-01	9.88494e-01	9.98121e-01	7.22125e-01	1.07786e-01	1.28810e-01	2.04825e-01	9.96195e-01	9.95237e-01	6.54089e-02	5.46479e-04	9.96195e-01	9.95237e-01	6.54089e-02	5.46479e-04	6.54089e-02	5.46479e-04	9.96195e-01	9.95237e-01	6.54089e-02	5.46479e-04	6.54089e-02	5.46479e-04
OR4C13	8.39844e-01	9.93899e-01	9.97862e-01	9.99134e-01	8.43821e-01	9.97834e-01	8.14261e-01	9.98171e-01	9.95042e-01	9.97545e-01	1.69291e-02	9.97618e-01	9.66621e-01	9.94982e-01	4.11014e-01	9.97096e-01	9.66621e-01	9.94982e-01	4.11014e-01	9.97096e-01	4.11014e-01	9.97096e-01	9.66621e-01	9.94982e-01	4.11014e-01	9.97096e-01	4.11014e-01	9.97096e-01
VN1R4	7.17698e-01	7.68156e-01	9.98005e-01	9.99052e-01	4.71570e-01	1.09275e-01	9.93403e-01	9.98275e-01	9.95623e-01	9.96727e-01	9.96912e-01	    NA	9.77274e-01	5.47105e-01	9.95333e-01	    NA	9.77274e-01	5.47105e-01	9.95333e-01	    NA	9.95333e-01	    NA	9.77274e-01	5.47105e-01	9.95333e-01	    NA	9.95333e-01	    NA
LCE3C	2.03147e-01	8.20211e-02	    NA	    NA	8.11929e-02	7.24843e-05	9.94884e-01	9.98171e-01	9.95255e-01	9.97722e-01	3.13658e-01	9.97773e-01	4.48063e-02	1.69071e-02	9.95487e-01	9.97619e-01	4.48063e-02	1.69071e-02	9.95487e-01	9.97619e-01	9.95487e-01	9.97619e-01	4.48063e-02	1.69071e-02	9.95487e-01	9.97619e-01	9.95487e-01	9.97619e-01
STXBP5	4.30696e-01	4.67073e-01	2.48868e-01	2.98406e-01	3.28954e-01	4.29333e-01	2.64171e-01	1.51242e-01	8.68820e-01	6.33860e-01	8.72327e-01	5.99716e-01	3.31988e-01	3.34602e-01	4.72406e-01	9.76854e-01	3.31988e-01	3.34602e-01	4.72406e-01	9.76854e-01	4.72406e-01	9.76854e-01	3.31988e-01	3.34602e-01	4.72406e-01	9.76854e-01	4.72406e-01	9.76854e-01
IYD	7.33893e-01	3.60094e-01	9.58802e-01	3.46961e-01	7.41084e-01	9.76668e-01	4.76297e-01	3.12538e-02	8.46315e-02	3.42292e-02	3.53030e-01	1.22746e-01	3.74653e-01	1.10689e-01	9.73250e-01	2.15372e-01	3.74653e-01	1.10689e-01	9.73250e-01	2.15372e-01	9.73250e-01	2.15372e-01	3.74653e-01	1.10689e-01	9.73250e-01	2.15372e-01	9.73250e-01	2.15372e-01
ARID1B	2.26731e-01	9.46321e-01	6.85073e-01	4.42524e-01	2.30321e-01	3.97558e-01	9.85071e-01	4.52350e-01	1.06542e-01	1.82103e-01	1.38472e-01	6.31353e-01	1.99364e-01	4.94466e-01	3.63951e-01	1.21589e-01	1.99364e-01	4.94466e-01	3.63951e-01	1.21589e-01	3.63951e-01	1.21589e-01	1.99364e-01	4.94466e-01	3.63951e-01	1.21589e-01	3.63951e-01	1.21589e-01
SMR3A	9.94135e-01	8.98708e-02	9.97218e-01	9.99071e-01	8.70478e-01	9.13113e-01	9.95309e-01	9.98124e-01	6.72729e-01	9.31567e-01	2.85557e-02	6.36710e-04	3.01922e-01	6.69958e-01	7.03031e-01	1.98291e-01	3.01922e-01	6.69958e-01	7.03031e-01	1.98291e-01	7.03031e-01	1.98291e-01	3.01922e-01	6.69958e-01	7.03031e-01	1.98291e-01	7.03031e-01	1.98291e-01
DIP2B	7.67613e-01	5.58095e-01	2.10188e-01	9.39297e-01	9.87234e-01	1.22849e-01	9.06233e-01	3.23066e-01	3.49744e-02	3.28052e-01	7.79767e-01	3.16201e-01	9.23585e-01	4.61338e-01	3.90568e-01	6.89184e-01	9.23585e-01	4.61338e-01	3.90568e-01	6.89184e-01	3.90568e-01	6.89184e-01	9.23585e-01	4.61338e-01	3.90568e-01	6.89184e-01	3.90568e-01	6.89184e-01
