Alltype	Alltype(non-senior)	Normal	Normal(non-senior)	LumA	LumA(non-senior	LumB	LumB(non-senior)	Basal	Basal(non-senior)	Her2	Her2(non-senior)	ERpos_PRpos_HER2pos	ERpos_PRpos_HER2pos(non-senior)	ERneg_PRpos_HER2pos	ERneg_PRpos_HER2pos(non-senior)	ERpos_PRneg_HER2pos	ERpos_PRneg_HER2pos(non-senior)	ERpos_PRpos_HER2neg	ERpos_PRpos_HER2neg(non-senior)	ERneg_PRneg_HER2pos	ERneg_PRneg_HER2pos(non-senior)	ERpos_PRneg_HER2neg	ERpos_PRneg_HER2neg(non-senior)	ERneg_PRpos_HER2neg	ERneg_PRpos_HER2neg(non-senior)	ERneg_PRneg_HER2neg	ERneg_PRneg_HER2neg(non-senior)
SLITRK3	5.51885e-03	5.51885e-03	1.69464e-01	6.70528e-01	9.99159e-01	7.80307e-01	6.66370e-01	9.99159e-01	6.66370e-01	6.70528e-01	8.21002e-01	9.99159e-01	1.05141e-01	1.05141e-01	    NA	    NA	6.66370e-01	7.28945e-01	6.70528e-01	6.70528e-01	6.70528e-01	6.70528e-01	4.17259e-01	6.70528e-01	9.99159e-01	9.99159e-01	4.66737e-01	6.70528e-01
GALP	5.55947e-01	3.63881e-01	9.98901e-01	9.98901e-01	9.98901e-01	9.98901e-01	9.98901e-01	9.98901e-01	9.98901e-01	3.63881e-01	3.63881e-01	4.65512e-01	9.98901e-01	9.98901e-01	    NA	    NA	1.79164e-01	    NA	1.79164e-01	1.23120e-01	1.79164e-01	1.23120e-01	9.98901e-01	9.98901e-01	5.91004e-01	3.63881e-01	6.66524e-01	2.09291e-01
OR4C13	9.99134e-01	9.99134e-01	9.99134e-01	9.99134e-01	9.99134e-01	9.99134e-01	9.99134e-01	9.99134e-01	9.99134e-01	9.99134e-01	8.46455e-02	9.99134e-01	9.99134e-01	9.99134e-01	    NA	    NA	7.46911e-02	    NA	7.46911e-02	    NA	7.46911e-02	    NA	9.99134e-01	    NA	    NA	    NA	9.99134e-01	9.99134e-01
VN1R4	9.99159e-01	9.99159e-01	9.99159e-01	9.99159e-01	9.99159e-01	9.99159e-01	9.99159e-01	9.99159e-01	9.99159e-01	9.99159e-01	9.99159e-01	    NA	9.99159e-01	9.99159e-01	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	9.99159e-01	9.99159e-01	9.99159e-01	    NA	9.99159e-01	    NA
LCE3C	5.41725e-01	2.62467e-01	    NA	    NA	2.62467e-01	1.15975e-03	9.99142e-01	9.99142e-01	9.99142e-01	9.99142e-01	7.16933e-01	9.99142e-01	2.38967e-01	1.35257e-01	    NA	    NA	9.99142e-01	9.99142e-01	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	9.99142e-01	9.99142e-01
STXBP5	6.99882e-01	7.14348e-01	6.98933e-01	6.98933e-01	6.98933e-01	6.99882e-01	6.98933e-01	6.98933e-01	8.72327e-01	7.67497e-01	8.72327e-01	7.67497e-01	6.98933e-01	6.98933e-01	    NA	    NA	6.98933e-01	7.67497e-01	7.67497e-01	6.98933e-01	7.67497e-01	6.98933e-01	6.98933e-01	6.98933e-01	6.98933e-01	6.98933e-01	7.67497e-01	7.67497e-01
IYD	8.75826e-01	5.75414e-01	9.99269e-01	5.75414e-01	8.75826e-01	9.99269e-01	6.51775e-01	3.74402e-01	4.82318e-01	3.74402e-01	5.75414e-01	4.82318e-01	5.75414e-01	4.82318e-01	    NA	    NA	5.75414e-01	9.99269e-01	5.75414e-01	5.75414e-01	5.75414e-01	5.75414e-01	9.73619e-01	8.75826e-01	5.75414e-01	5.75414e-01	4.82318e-01	3.74402e-01
ARID1B	7.66918e-01	9.85071e-01	8.90595e-01	8.63957e-01	7.66918e-01	8.63957e-01	9.85071e-01	8.63957e-01	7.66918e-01	7.66918e-01	7.66918e-01	8.63957e-01	7.66918e-01	8.63957e-01	    NA	    NA	9.08928e-01	8.63957e-01	8.63957e-01	8.63957e-01	8.63957e-01	8.63957e-01	9.85071e-01	8.63957e-01	9.85071e-01	9.85071e-01	7.66918e-01	7.66918e-01
SMR3A	9.99071e-01	3.20967e-01	9.99071e-01	9.99071e-01	9.99071e-01	9.99071e-01	9.99071e-01	9.99071e-01	9.99071e-01	9.99071e-01	1.18982e-01	8.26970e-03	7.54804e-01	9.99071e-01	    NA	    NA	9.99071e-01	    NA	8.26970e-03	8.77960e-03	8.26970e-03	8.77960e-03	5.78093e-01	9.44906e-01	9.99071e-01	9.99071e-01	7.50282e-01	9.99071e-01
DIP2B	9.76869e-01	9.76869e-01	9.47706e-01	9.76869e-01	9.87234e-01	7.98515e-01	9.76869e-01	9.47706e-01	5.67667e-01	9.47706e-01	9.76869e-01	9.47706e-01	9.76869e-01	9.76869e-01	    NA	    NA	9.76869e-01	9.76869e-01	9.76869e-01	9.76869e-01	9.76869e-01	9.76869e-01	9.76869e-01	9.76869e-01	9.47706e-01	9.76869e-01	5.67667e-01	7.98515e-01
LOC100101266	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
C19orf66	2.43013e-01	4.11458e-01	9.01559e-01	6.21336e-01	6.21336e-01	9.01559e-01	6.21336e-01	6.21336e-01	6.21336e-01	6.21336e-01	6.21336e-01	2.36207e-01	4.11458e-01	6.21336e-01	    NA	    NA	4.11458e-01	9.99269e-01	9.01559e-01	6.21336e-01	9.01559e-01	6.21336e-01	9.01559e-01	9.01559e-01	6.21336e-01	6.21336e-01	4.11458e-01	4.14345e-01
PARP12	6.30256e-01	9.48076e-01	8.32885e-01	7.23431e-01	8.32885e-01	9.99160e-01	1.62164e-01	8.32885e-01	5.01718e-03	1.32696e-01	9.99160e-01	1.32696e-01	4.65576e-01	5.19049e-01	    NA	    NA	9.51929e-01	8.32885e-01	8.32885e-01	6.86850e-01	8.32885e-01	6.86850e-01	8.27468e-01	6.99907e-01	9.99160e-01	9.99160e-01	5.01718e-03	1.32696e-01
EXOC1	2.52764e-01	2.52764e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.55108e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.55108e-01	9.38311e-01	9.42431e-01	    NA	    NA	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01	9.42431e-01
CEL	3.08628e-01	3.08628e-01	9.14133e-01	4.21637e-01	6.17156e-01	6.45657e-01	3.08628e-01	3.08628e-01	3.08628e-01	4.69893e-01	7.86934e-01	3.08628e-01	3.08628e-01	3.08628e-01	    NA	    NA	4.44612e-01	6.45657e-01	5.97527e-01	3.08628e-01	5.97527e-01	3.08628e-01	3.08628e-01	3.08628e-01	4.80724e-01	4.70212e-01	3.08628e-01	4.74888e-01
SLC9A1	1.38300e-01	3.38396e-01	9.78341e-01	7.43505e-01	9.78341e-01	7.02140e-01	9.78341e-01	7.02140e-01	7.02140e-01	9.78341e-01	9.78341e-01	9.42378e-01	3.76678e-01	7.02140e-01	    NA	    NA	7.43505e-01	8.25555e-01	7.43505e-01	7.02140e-01	7.43505e-01	7.02140e-01	9.78341e-01	9.78341e-01	7.43505e-01	7.43505e-01	8.38378e-01	9.78341e-01
CCDC28B	7.13987e-01	9.04586e-01	7.13987e-01	6.16722e-01	5.86783e-01	7.94511e-01	5.86783e-01	7.13987e-01	5.86783e-01	5.86783e-01	5.86783e-01	6.15395e-01	9.95325e-01	6.16722e-01	    NA	    NA	9.01384e-01	7.53486e-01	6.16722e-01	5.86783e-01	6.16722e-01	5.86783e-01	7.13987e-01	5.86783e-01	5.86783e-01	5.86783e-01	5.86783e-01	5.86783e-01
PCMT1	7.50652e-04	9.70141e-03	7.94224e-01	8.68023e-01	1.14516e-01	7.94224e-01	4.13186e-01	4.83435e-01	4.13186e-01	1.14516e-01	8.68023e-01	8.68023e-01	7.50652e-04	3.76731e-02	    NA	    NA	8.68023e-01	7.94224e-01	7.94224e-01	8.68023e-01	7.94224e-01	8.68023e-01	5.96461e-01	5.96461e-01	4.83435e-01	4.13186e-01	5.96461e-01	5.96461e-01
C10orf131	8.08771e-01	8.08771e-01	9.90731e-01	9.99272e-01	9.90731e-01	9.90731e-01	9.90731e-01	9.99272e-01	9.99272e-01	9.90731e-01	3.07896e-01	9.90731e-01	8.08771e-01	9.90731e-01	    NA	    NA	9.90731e-01	9.99272e-01	9.90731e-01	9.99272e-01	9.90731e-01	9.99272e-01	9.90731e-01	9.98805e-01	9.99272e-01	9.99272e-01	9.90731e-01	8.08771e-01
HARS2	6.40397e-01	7.74444e-01	4.29755e-01	9.98680e-01	4.03551e-01	6.19103e-01	6.24927e-01	3.51143e-01	6.19103e-01	7.28215e-01	6.79870e-01	7.51374e-01	3.51143e-01	4.29755e-01	    NA	    NA	7.51374e-01	7.38522e-01	7.51374e-01	6.19103e-01	7.51374e-01	6.19103e-01	7.51374e-01	7.51374e-01	6.19103e-01	6.19103e-01	5.29152e-01	7.51374e-01
CELP	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	    NA	    NA	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01	9.99125e-01
C7orf53	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
OR52E6	3.69590e-01	2.97724e-01	9.99159e-01	9.99159e-01	5.89386e-01	9.99159e-01	3.73397e-01	8.00284e-01	6.80635e-02	2.82716e-01	2.97724e-01	5.89386e-01	8.71914e-01	5.81166e-01	    NA	    NA	6.87764e-01	5.89386e-01	8.71914e-01	6.87764e-01	8.71914e-01	6.87764e-01	2.97724e-01	2.82716e-01	9.99159e-01	    NA	2.97724e-01	6.87764e-01
HBS1L	9.57691e-01	9.57691e-01	9.57691e-01	9.57691e-01	9.57691e-01	9.57691e-01	9.61626e-01	9.61626e-01	9.57691e-01	9.57691e-01	9.70515e-01	9.70515e-01	9.57691e-01	9.57691e-01	    NA	    NA	9.61626e-01	9.57691e-01	9.61626e-01	9.57691e-01	9.61626e-01	9.57691e-01	9.57691e-01	9.61626e-01	9.70515e-01	9.70515e-01	9.57691e-01	9.57691e-01
MEMO1P3	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
HLA-K	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
GVINP2	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA	    NA
