ENSG00000110514,ENST00000636321
ENSG00000105613,ENST00000521633
ENSG00000105613,ENST00000582896
ENSG00000105613,ENST00000520478
ENSG00000120539,ENST00000521633
ENSG00000120539,ENST00000582896
ENSG00000120539,ENST00000520478
ENSG00000099308,ENST00000521633
ENSG00000099308,ENST00000582896
ENSG00000099308,ENST00000520478
ENSG00000069020,ENST00000521633
ENSG00000069020,ENST00000582896
ENSG00000069020,ENST00000520478
ENSG00000086015,ENST00000521633
ENSG00000086015,ENST00000582896
ENSG00000086015,ENST00000520478
ENSG00000115808,ENST00000412374
ENSG00000115808,ENST00000554576
ENSG00000115808,ENST00000619329
ENSG00000196792,ENST00000412374
ENSG00000196792,ENST00000554576
ENSG00000196792,ENST00000619329
ENSG00000114742,ENST00000412374
ENSG00000114742,ENST00000554576
ENSG00000114742,ENST00000619329
ENSG00000090372,ENST00000412374
ENSG00000090372,ENST00000554576
ENSG00000090372,ENST00000619329
ENSG00000103355,ENST00000440800
ENSG00000103355,ENST00000522832
ENSG00000103355,ENST00000507181
ENSG00000103355,ENST00000568091
ENSG00000103355,ENST00000515154
ENSG00000103355,ENST00000562876
ENSG00000052344,ENST00000440800
ENSG00000052344,ENST00000522832
ENSG00000052344,ENST00000507181
ENSG00000052344,ENST00000568091
ENSG00000052344,ENST00000515154
ENSG00000052344,ENST00000562876
ENSG00000172236,ENST00000440800
ENSG00000172236,ENST00000522832
ENSG00000172236,ENST00000507181
ENSG00000172236,ENST00000568091
ENSG00000172236,ENST00000515154
ENSG00000172236,ENST00000562876
ENSG00000185888,ENST00000440800
ENSG00000185888,ENST00000522832
ENSG00000185888,ENST00000507181
ENSG00000185888,ENST00000568091
ENSG00000185888,ENST00000515154
ENSG00000185888,ENST00000562876
ENSG00000172382,ENST00000440800
ENSG00000172382,ENST00000522832
ENSG00000172382,ENST00000507181
ENSG00000172382,ENST00000568091
ENSG00000172382,ENST00000515154
ENSG00000172382,ENST00000562876
ENSG00000188086,ENST00000440800
ENSG00000188086,ENST00000522832
ENSG00000188086,ENST00000507181
ENSG00000188086,ENST00000568091
ENSG00000188086,ENST00000515154
ENSG00000188086,ENST00000562876
ENSG00000261603,ENST00000440800
ENSG00000261603,ENST00000522832
ENSG00000261603,ENST00000507181
ENSG00000261603,ENST00000568091
ENSG00000261603,ENST00000515154
ENSG00000261603,ENST00000562876
ENSG00000095917,ENST00000440800
ENSG00000095917,ENST00000522832
ENSG00000095917,ENST00000507181
ENSG00000095917,ENST00000568091
ENSG00000095917,ENST00000515154
ENSG00000095917,ENST00000562876
ENSG00000007038,ENST00000440800
ENSG00000007038,ENST00000522832
ENSG00000007038,ENST00000507181
ENSG00000007038,ENST00000568091
ENSG00000007038,ENST00000515154
ENSG00000007038,ENST00000562876
ENSG00000116176,ENST00000440800
ENSG00000116176,ENST00000522832
ENSG00000116176,ENST00000507181
ENSG00000116176,ENST00000568091
ENSG00000116176,ENST00000515154
ENSG00000116176,ENST00000562876
ENSG00000206549,ENST00000440800
ENSG00000206549,ENST00000522832
ENSG00000206549,ENST00000507181
ENSG00000206549,ENST00000568091
ENSG00000206549,ENST00000515154
ENSG00000206549,ENST00000562876
ENSG00000005001,ENST00000440800
ENSG00000005001,ENST00000522832
ENSG00000005001,ENST00000507181
ENSG00000005001,ENST00000568091
ENSG00000005001,ENST00000515154
ENSG00000005001,ENST00000562876
ENSG00000189099,ENST00000440800
ENSG00000189099,ENST00000522832
ENSG00000189099,ENST00000507181
ENSG00000189099,ENST00000568091
ENSG00000189099,ENST00000515154
ENSG00000189099,ENST00000562876
